product_name,price,discount_percent,product_rating,number_of_reviews,freeship,category,sold
"Máy Sấy Tóc 2 Chiều Nóng Lạnh miDoctor Công Suất 2300w, Máy Sấy Tạo Kiểu Sấy Nhanh Khô Chăm Sóc Tóc - Hàng Chính Hãng",68.000,-20%,4.0,(1),1,máy sấy tóc,đã bán 5
Máy Sấy Tóc Lock&Lock air dryer ENA144BLU (Model 2023) - Hàng Chính Hãng,440.000,-45%,5.0,(4),1,máy sấy tóc,đã bán 40
Máy sấy tóc Xiaomi ShowSee A4-W 1800W - Hàng nhập khẩu,303.050,-18%,4.6,(11),1,máy sấy tóc,đã bán 65
Máy sấy tóc Panasonic EH-NE81-K645 - Hàng chính hãng,1.690.000,,4.2,(1),1,máy sấy tóc,
Máy sấy tóc Philips BHC010/10 - Dễ dàng chăm sóc tóc - An toàn,405.000,-11%,4.8,(52),1,máy sấy tóc,đã bán 267
Máy sấy tóc BHD510/00 -Sấy tóc nhanh khô - Bảo vệ tóc không quá nóng,1.505.000,-3%,5.0,(14),1,máy sấy tóc,đã bán 65
Máy sấy tóc Philips BHD500/00 - Sấy tóc nhanh khô - Bảo vệ tóc không bị quá nóng - Hàng Chính Hãng,1.060.000,-5%,5.0,(4),1,máy sấy tóc,đã bán 28
Máy sấy tóc Philips BHC015/00 - Chăm sóc tóc dễ dàng,425.000,-11%,5.0,(3),1,máy sấy tóc,đã bán 16
Máy sấy tóc Panasonic EH-NE66-K645 - Hàng chính hãng,1.340.000,-4%,5.0,(1),1,máy sấy tóc,đã bán 12
Máy sấy tóc Philips BHD300/10 - Chính hãng,745.000,-6%,4.5,(2),1,máy sấy tóc,đã bán 12
Sách Thiên Văn Học Trực Quan,321.700,-36%,5.0,(2),1,bàn học,đã bán 49
Sách 10 Vạn Câu Hỏi Vì Sao - Siêu Nhí Hỏi Nhà Khoa Học Trả Lời (Bộ 6 quyển),37.920,-41%,5.0,(4),1,bàn học,đã bán 26
